Compound_id;Compound_common_name;Compound_synonyms;Molecular_weight;Chemical_formula;Smiles;Links;EC;Reaction_equation;Pathway
CPD1F-420;kaempferol-3-glucoside-7-rhamnoside;kaempferol-3-O-glucopyranoside-7-O-rhamnopyranoside;594.525;C27 H30 O15 ;CC5(OC(OC4(C=C2(C(C(=O)C(=C(C1(=CC=C(O)C=C1))O2)OC3(OC(C(C(C3O)O)O)CO))=C(C=4)O)))C(C(C5O)O)O);PUBCHEM:25202803;EC-2.4.1;kaempferol-3-glucoside + UDP-beta-L-rhamnose  ->  kaempferol-3-glucoside-7-rhamnoside + UDP;kaempferol glycoside biosynthesis (Arabidopsis)
CPD-8948;6-O-galloylglucose;;332.263;C13 H16 O10 ;C(C1(OC(C(C(C1O)O)O)O))OC(=O)C2(C=C(C(=C(C=2)O)O)O);METABOLIGHTS:MTBLC65941*CHEBI:65941*CHEMSPIDER:4476323*PUBCHEM:5317463;EC-2.3.1;2 1-O,6-O-digalloyl-beta-D-glucose  ->  1,2,6-trikis-O-galloyl-beta-D-glucose + 6-O-galloylglucose;pentagalloylglucose biosynthesis
PHLORETIN;phloretin;;274.273;C15 H14 O5 ;C1(C=C(C=CC=1CCC(C2(=C(C=C(O)C=C(O)2)O))=O)O);REFMET:Phloretin*METABOLIGHTS:MTBLC17276*HMDB:HMDB03306*LIPID_MAPS:LMPK12120525*DRUGBANK:DB07810*CHEMSPIDER:4624*PUBCHEM:4788*CHEBI:17276*LIGAND-CPD:C00774*NCI:407292;RXN-11465;UDP-alpha-D-glucose + phloretin  ->  phlorizin + UDP;phloridzin biosynthesis
ADP-D-GLUCOSE;ADP-alpha-D-glucose;ADP-D-glucose*adenosine diphosphate glucose*ADP-glucose;587.33;C16 H23 N5 O15 P2 ;C(C1(C(C(C(C(O1)OP(OP(OCC4(C(C(C(N3(C2(=C(C(=NC=N2)N)N=C3)))O4)O)O))(=O)[O-])(=O)[O-])O)O)O))O;REFMET:ADP-glucose*PUBCHEM:42609821*BIGG:adpglc*METABOLIGHTS:MTBLC57498*HMDB:HMDB06557*CHEBI:57498*BIGG:35161*PUBCHEM:25244286*LIGAND-CPD:C00498*CAS:2140-58-1;EC-2.4.1.21;(1,4-alpha-D-glucosyl)(n) + ADP-alpha-D-glucose  ->  ADP + (1,4-alpha-D-glucosyl)(n+1);starch biosynthesis
CPDQT-26;quercetin-3-rhamnoside-7-rhamnoside;quercetin-3-<i>O</i>-rhamnoside-7-<i>O</i>-rhamnoside;593.517;C27 H29 O15 ;CC5(OC(OC4(=CC2(=C(C(=O)C(=C(C1(=CC(O)=C(O)C=C1))O2)OC3(OC(C(C(C3O)O)O)C))C(=C4)[O-])))C(C(C5O)O)O);PUBCHEM:91820463*PUBCHEM:25245543*PUBCHEM:25245543;EC-2.4.1;quercetin 3-O-rhamnoside + UDP-beta-L-rhamnose  ->  quercetin-3-rhamnoside-7-rhamnoside + UDP + H+;quercetin glycoside biosynthesis (Arabidopsis)
GLUTARYL-COA;glutaryl-CoA;glutaryl-coenzyme A*4-carboxybutanoyl-CoA;876.595;C26 H37 N7 O19 P3 S1 ;CC(C)(C(O)C(=O)NCCC(=O)NCCSC(CCCC(=O)[O-])=O)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-];REFMET:Glutaryl-CoA*PUBCHEM:45266604*METABOLIGHTS:MTBLC57378*CHEBI:57378*HMDB:HMDB01339*PUBCHEM:25244295*LIGAND-CPD:C00527;GLUTARYL-COA-DEHYDROG-RXN;glutaryl-CoA + an oxidized electron-transfer flavoprotein + H+  <-->  (E)-glutaconyl-CoA + a reduced electron-transfer flavoprotein;lysine degradation II
CPD-8062;chalcone 2'-O-glucoside;;434.399;C21 H22 O10 ;C(C3(C(C(C(C(OC1(=CC(=CC(=C1C(C=CC2(C=CC(=CC=2)O))=O)O)O))O3)O)O)O))O;PUBCHEM:12818405*LIGAND-CPD:C16406;EC-2.4.1;UDP-alpha-D-glucose + naringenin chalcone  ->  chalcone 2'-O-glucoside + UDP + H+;chalcone 2'-O-glucoside biosynthesis
CPD-16623;des-acyl avenacin A;;961.105;C47 H76 O20 ;CC1(C=O)(C(O)CC3(C)([CH](C1)C24(OC2C[CH]5(C(C)(C(C)(CC(O)3)4)CC[CH]9(C(C)5CCC(OC8(OCC(OC6(OC(CO)C(O)C(O)C(O)6))C(O)C(OC7(OC(CO)C(O)C(O)C(O)7))8))C(CO)(C)9)))));PUBCHEM:90657310;EC-2.3.1;des-acyl avenacin A + N-methylanthraniloyl-beta-D-glucopyranose  ->  avenacin A-1 + D-glucopyranose;avenacin A-1 biosynthesis
CPD-11590;barbaloin;aloin A;418.399;C21 H22 O9 ;C(O)C1(=CC3(=C(C(O)=C1)C(=O)C4(C(C(C2(C(O)C(O)C(O)C(CO)O2))3)=CC=CC(O)=4)));CHEMSPIDER:4572776*PUBCHEM:5458893;RXN-10754;chrysophanol anthrone  ->  barbaloin;barbaloin biosynthesis
CPD-82;dihydroconiferyl alcohol glucoside;dihydroconiferyl alcohol-4-O-&beta;;;;;;;
CPD-9526;gossypol;;518.562;C30 H30 O8 ;CC(C4(=C(C(=C(C3(=C(C=C(C(C1(C(O)=CC2(=C(C=1C)C(=C(C(=C2C=O)O)O)C(C)C)))=C3O)C)4))C=O)O)O))C;HMDB:HMDB40723*LIGAND-CPD:C07667*KNAPSACK:C00003136*CAS:303-45-7*PUBCHEM:25201041;RXN-9048;2 hemigossypol + an oxidized electron acceptor  ->  gossypol + a reduced electron acceptor;gossypol biosynthesis
CPD-16602;cyanidin 3-O-glucoside-7-O-(6-O-(p-hydroxybenzoyl)-glucoside);;730.632;C34 H34 O18 ;C(O)C1(C(O)C(O)C(O)C(O1)OC3(C(C2(C=CC(O)=C(O)C=2))=[O+]C6(C(C=3)=C([O-])C=C(OC5(OC(COC(=O)C4(C=CC(O)=CC=4))C(O)C(O)C(O)5))C=6)));PUBCHEM:90659011;EC-2.4.1;cyanidin 3-O-glucoside-7-O-(6-O-(p-hydroxybenzoyl)-glucoside) + 1-O-4-hydroxybenzoyl-beta-D-glucose  ->  cyanidin 3-O-glucoside-7-O-(6-O-(4-O-(glucosyl)-oxybenzoyl)-glucoside) + 4-hydroxybenzoate + H+;cyanidin 3,7-diglucoside polyacylation biosynthesis
ISOVITEXIN-2-O-B-D-GLUCOSIDE;isovitexin 2''-O-beta-D-glucoside;;593.517;C27 H29 O15 ;C1(C=C(O)C=CC=1C2(=CC(=O)C3(=C(O)C(=C([O-])C=C(O2)3)C5(OC(CO)C(O)C(O)C(OC4(OC(CO)C(O)C(O)C(O)4))5))));METABOLIGHTS:MTBLC17379*HMDB:HMDB29484*LIPID_MAPS:LMPK12110217*CHEBI:17379*PUBCHEM:25202838*LIGAND-CPD:C04199;EC-2.4.1;isovitexin 2''-O-beta-D-glucoside + UDP-alpha-D-galactose  ->  isovitexin 2''-O-beta-D-glucosyl 7-O-galactoside + UDP;isovitexin glycosides biosynthesis
CPD-11528;3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxobutanoyl)-CoA;OPC4-3-ketoacyl-CoA;997.797;C35 H50 N7 O19 P3 S1 ;CCC=CCC1(C(CCC(=O)1)CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-]);PUBCHEM:126961198*PUBCHEM:44237346;EC-2.3.1.16;(+)-7-epi-jasmonoyl-CoA + acetyl-CoA  <-  3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxobutanoyl)-CoA + coenzyme A;jasmonic acid biosynthesis
CPD-8047;galactopinitol A;<i>O</i>-&alpha;;;;;;;
ACETOACETYL-COA;acetoacetyl-CoA;3-acetoacetyl-CoA*acetoacetyl-<i>S</i>-CoA;847.577;C25 H36 N7 O18 P3 S1 ;CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-];REFMET:Acetoacetyl-CoA*PUBCHEM:45266540*BIGG:aacoa*CHEBI:15345*METABOLIGHTS:MTBLC57286*HMDB:HMDB01484*CHEBI:57286*LIPID_MAPS:LMFA07050030*DRUGBANK:DB03059*BIGG:34646*KNAPSACK:C00007269*PUBCHEM:25245580*LIGAND-CPD:C00332*CAS:1420-36-6;EC-2.3.3.10;acetoacetyl-CoA + acetyl-CoA + H2O  ->  (S)-3-hydroxy-3-methylglutaryl-CoA + coenzyme A + H+;isoprene biosynthesis II (engineered)
CPD-20010;nothofagin;3'-C-glucosylphloretin;436.415;C21 H24 O10 ;C(O)C3(C(O)C(O)C(O)C(C1(C(=CC(O)=C(C=1O)C(=O)CCC2(C=CC(O)=CC=2))O))O3);PUBCHEM:21722188;EC-2.4.1;UDP-alpha-D-glucose + nothofagin  ->  3',5'-di-C-glucosylphloretin + UDP + H+;flavonoid di-C-glucosylation
CPD-8675;celosianin I;4-coumaroylamaranthin;870.73;C39 H38 N2 O21 ;C(O)C3(C(O)C(O)C(OC1(C(C(C(C(O1)C([O-])=O)O)O)OC(=O)C=CC2(C=CC(=CC=2)O)))C(O3)OC4(=C(O)C=C6(C(=C4)CC(C([O-])=O)[N+](=CC=C5(C=C([N+]C(C(=O)[O-])C5)C(=O)[O-]))6)));PUBCHEM:122706240*PUBCHEM:54740360;EC-2.3.1;amaranthin + 1-O-(4-coumaroyl)-beta-D-glucose  ->  celosianin I + D-glucopyranose;amaranthin biosynthesis
CPD-1862;desulfoglucobrassicin;;368.404;C16 H20 N2 O6 S1 ;C2(=C(C1(C=CC=CC=1N2))CC(=NO)SC3(OC(CO)C(O)C(O)C(O)3));PUBCHEM:14122903*LIGAND-CPD:C16517;EC-2.8.2.24;desulfoglucobrassicin + 3'-phosphoadenylyl-sulfate  ->  adenosine 3',5'-bisphosphate + glucobrassicin + H+;glucosinolate biosynthesis from tryptophan
CPD-11540;UDP-4-dehydro-beta-L-rhamnose;UDP-4-keto-&beta;;;;;;;
CPD-10345;isovitexin 2''-O-rhamnoside;;577.518;C27 H29 O14 ;CC5(OC(OC1(C(O)C(O)C(CO)OC1C3(=C([O-])C=C2(OC(=CC(C2=C(O)3)=O)C4(C=CC(O)=CC=4)))))C(O)C(O)C(O)5);PUBCHEM:25202896;EC-2.4.1;isovitexin + UDP-beta-L-rhamnose  ->  isovitexin 2''-O-rhamnoside + UDP + H+;isovitexin glycosides biosynthesis
CPD-16418;isolychnose;3<sup>F</sup>-&alpha;;;;;;;
CPD-63;syringin;sinapyl alcohol-4-O-&beta;;;;;;;
CPD-15368;3-oxo-lesqueroloyl-CoA;;1085.989;C41 H66 N7 O19 P3 S1 ;CCCCCCC(O)CC=CCCCCCCCC(=O)CC(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])=O;PUBCHEM:90657339;EC-1.1.1.330;3R-hydroxy-lesqueroloyl-CoA + NADP+  <-  3-oxo-lesqueroloyl-CoA + NADPH + H+;hydroxylated fatty acid biosynthesis (plants)
CPD-10318;apigenin 7-O-(6-malonyl-beta-D-glucoside);apigenin 7-<i>O</i>-(6-malonyl-&beta;;;;;;;
CPD-14839;(+)-sesaminol 2-O-beta-D-gentiobioside;(+)-sesaminol 2-<i>O</i>-&beta;;;;;;;
CPD-10518;3-keto-indole-3-butyryl-CoA;3-keto-indole-3-butyryl-coenzyme A;966.743;C33 H45 N8 O18 P3 S1 ;C5(N=C(C1(=C(N(C=N1)C2(OC(C(OP(O)(=O)O)C(O)2)COP(=O)(OP(=O)(OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CC3(C4(C(NC=3)=CC=CC=4)))O)O))N=5))N);;EC-2.3.1;3-keto-indole-3-butyryl-CoA + coenzyme A  ->  indole-3-acetyl-CoA + acetyl-CoA;IAA biosynthesis VII
MELIBIOSE;melibiose;6-O-&alpha;;;;;;;
CPD-14273;3-oxo-lignoceroyl-CoA;3-oxotetracosanoyl-CoA;1128.113;C45 H76 N7 O18 P3 S1 ;CCCCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(C(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OCC1(C(OP(=O)([O-])[O-])C(O)C(O1)N3(C=NC2(C(N)=NC=NC=23))))=O;REFMET:3-oxotetracosanoyl-CoA*PUBCHEM:71581078*CHEBI:73977;EC-1.1.1.330;(3R)-3-hydroxy-lignoceroyl-CoA + NADP+  <-  3-oxo-lignoceroyl-CoA + NADPH + H+;very long chain fatty acid biosynthesis II
7-O-METHYLVITEXIN-2-O-B-L-RHAMNOSIDE;7-O-methylvitexin 2''-O-beta-L-rhamnoside;;592.552;C28 H32 O14 ;CC1(OC(C(C(C(O)1)O)O)OC2(C(C(O)C(CO)OC2C5(C(OC)=CC(O)=C4(C(=O)C=C(C3(C=CC(O)=CC=3))OC4=5)))O));PUBCHEM:86289613*CHEBI:82684*METABOLIGHTS:MTBLC31143*HMDB:HMDB37417*CHEBI:31143*PUBCHEM:25245627*LIGAND-CPD:C12629;EC-2.1.1.153;S-adenosyl-L-methionine + vitexin 2''-O-beta-L-rhamnoside  ->  S-adenosyl-L-homocysteine + 7-O-methylvitexin 2''-O-beta-L-rhamnoside;vitexin and derivatives biosynthesis
CPD-1777;coniferin;coniferyl alcohol-4-O-&beta;;;;;;;
CPD-16536;cyanidin 3-O-beta-D-(p-coumaroyl)-sambubioside;cyanidin 3-<i>O</i>-[2\*-<i>O</i>-xylosyl;726.643;C35 H34 O17 ;C1(C=C(O)C=CC=1C=CC(=O)OCC6(OC(OC3(C(=[O+]C2(C(=C([O-])C=C(O)C=2)C=3))C4(=CC(O)=C(O)C=C4)))C(OC5(OCC(O)C(O)C(O)5))C(O)C(O)6));PUBCHEM:102515296;EC-2.4.1;"cyanidin 3-O-beta-D-(p-coumaroyl)-sambubioside + UDP-alpha-D-glucose  ->  cyanidin 3-O-[2\""-O-(xylosyl)-6\""-O-(p-coumaroyl) glucoside] 5-O-glucoside + UDP";anthocyanidin modification (Arabidopsis)
CPD-7087;(+)-dihydromyricetin;(+)-ampelopsin*ampelopsin;319.247;C15 H11 O8 ;C3(C(C2(OC1(C=C(C=C(C=1C(C2O)=O)O)[O-])))=CC(=C(C=3O)O)O);PUBCHEM:25244375*METABOLIGHTS:MTBLC28429*CHEBI:28429*PUBCHEM:25244375*LIGAND-CPD:C02906;EC-1.14.11.23;(+)-dihydromyricetin + 2-oxoglutarate + oxygen  ->  myricetin + succinate + CO2 + H2O;flavonol biosynthesis
CPD-12462;lychnose;1<sup>F</sup>-&alpha;;;;;;;
CPD-14841;(+)-sesaminol 2-O-beta-D-gentiotrioside;;856.784;C38 H48 O22 ;C1(OC9(C(O1)=CC=C(C2(OC[CH]3(C(OC[CH]23)C7(C(OC4(C(C(C(O)C(O4)COC5(C(C(C(O)C(O5)COC6(C(C(C(O)C(O6)CO)O)O))O)O))O)O))=CC8(=C(C=7)OCO8)))))C=9));PUBCHEM:126961078*PUBCHEM:90657935;EC-2.4.1;UDP-alpha-D-glucose + (+)-sesaminol 2-O-beta-D-gentiobioside + UDP-alpha-D-glucose  ->  UDP + (+)-sesaminol 2-O-beta-D-gentiotrioside + UDP + H+ + H+;sesaminol glucoside biosynthesis
CPD-15382;keto-D-fructose;;180.157;C6 H12 O6 ;C(O)C(=O)C(O)C(O)C(O)CO;REFMET:|Fructose|*PUBCHEM:5984*METABOLIGHTS:MTBLC48095*CHEBI:48095;RXN-14515;keto-D-fructose  ->  beta-D-fructofuranose;D-sorbitol degradation I
CPD-8067;kaempferol 3-O-beta-D-glucosyl-(1->2)-glucoside;kaempferol-3-<i>O</i>-sophoroside;609.516;C27 H29 O16 ;C5(C(C4(OC1(C=C(C=C(C=1C(C(OC2(C(C(C(O)C(O2)CO)O)OC3(C(C(C(O)C(O3)CO)O)O)))=4)=O)O)[O-])))=CC=C(C=5)O);PUBCHEM:90659051*PUBCHEM:25245636*PUBCHEM:25245636*METABOLIGHTS:MTBLC31743*CHEBI:31743*PUBCHEM:25245636*LIGAND-CPD:C12634;EC-2.4.1.240;UDP-alpha-D-glucose + kaempferol 3-O-beta-D-glucosyl-(1->2)-glucoside  ->  kaempferol 3-O-beta-D-glucosyl-(1->2)-glucosyl-(1->2)-beta-D-glucoside + UDP;kaempferol triglucoside biosynthesis
CPD-18157;isovitexin 7-O-xylosyl 2''-O-arabinoside;;696.615;C31 H36 O18 ;C(O)C2(OC(C(OC1(C(O)C(O)C(O)OC1))C(O)C(O)2)C5(=C(OC3(OCC(O)C(O)C(O)3))C=C4(OC(=CC(C4=C(O)5)=O)C6(C=CC(O)=CC=6))));PUBCHEM:102515438;EC-2.4.1;isovitexin-7-O-xyloside + UDP-L-arabinose  ->  isovitexin 7-O-xylosyl 2''-O-arabinoside + UDP + H+;isovitexin glycosides biosynthesis
CPD-10269;palmitoleoyl-CoA;palmitoleyl coenzyme A*16:1-delta9-CoA*9z-hexadecenoyl-CoA*cis-9-hexadecenoyl-CoA*palmitoleoyl coenzyme A*(9Z)-hexadec-9-enoyl-CoA;999.899;C37 H60 N7 O17 P3 S1 ;CCCCCCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-];REFMET:Palmitoleoyl-CoA*METABOLIGHTS:MTBLC61540*CHEBI:61540*PUBCHEM:25244393;EC-1.14.19.6;palmitoleoyl-CoA + 2 a ferrocytochrome b5 + oxygen + 2 H+  ->  (9Z,12Z)-hexadeca-9,12-dienoyl-CoA + 2 a ferricytochrome b5 + 2 H2O;sorgoleone biosynthesis
CPD-8654;betanin;Beetroot Red*E162*betanidin 5-<i>O</i>-&beta;;;;;;;
CPD-14824;apigenin-7-O-gentiobioside;;594.525;C27 H30 O15 ;C1(C=C(O)C=CC=1C2(=CC(=O)C3(C(O)=CC(=CC(O2)=3)OC5(OC(COC4(OC(CO)C(O)C(O)C(O)4))C(O)C(O)C(O)5))));PUBCHEM:10841200;EC-2.4.1;apigenin 7-O-beta-D-glucoside + UDP-alpha-D-glucose  ->  apigenin-7-O-gentiobioside + UDP + H+;apigenin glycosides biosynthesis
LOGANATE;loganate;loganic acid;375.352;C16 H23 O10 ;CC1(C(O)C[CH]3([CH]1C(OC2(OC(CO)C(O)C(O)C(O)2))OC=C(C([O-])=O)3));PUBCHEM:5460138*CHEBI:18052*CHEBI:6512*PUBCHEM:25244401*LIGAND-CPD:C01512*CAS:22255-40-9;EC-2.1.1.50;S-adenosyl-L-methionine + loganate  ->  S-adenosyl-L-homocysteine + loganin;secologanin and strictosidine biosynthesis
CO-A;coenzyme A;CoA*co-A-SH*co-enzyme-A*co-A*HS-CoA;763.502;C21 H32 N7 O16 P3 S1 ;CC(C)(C(O)C(=O)NCCC(=O)NCCS)COP(=O)(OP(=O)(OCC1(OC(C(C1OP([O-])(=O)[O-])O)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-];REFMET:Coenzyme A*BIGG:coa*PUBCHEM:25113190*|Wikipedia|:Coenzyme_a*METABOLIGHTS:MTBLC57287*HMDB:HMDB01423*BIGG:33502*CHEBI:57287*PUBCHEM:25113190*KNAPSACK:C00007258*CAS:85-61-0*LIGAND-CPD:C00010;EC-6.2.1.12;4-coumarate + ATP + coenzyme A  ->  4-coumaroyl-CoA + AMP + diphosphate;flavonoid di-C-glucosylation
CPD-12038;6-hydroxy-2-(4-hydroxy-phenoxymethylene)-benzofuran-3-one;QVE*quinol vinyl ether;270.241;C15 H10 O5 ;C(OC1(C=CC(O)=CC=1))=C2(OC3(C(C(=O)2)=CC=C(O)C=3));PUBCHEM:13815502;RXN-11086;6-hydroxy-2-(6-oxo-1-oxaspiro[2.5]octa-4,7-dien-2-yl)-1-benzofuran-3-one  ->  6-hydroxy-2-(4-hydroxy-phenoxymethylene)-benzofuran-3-one;hispidol and hispidol 4'-O-beta-D-glucoside biosynthesis
CPD-15175;wogonin 7-O-beta-D-glucoside;wogonin 7-<i>O</i>-glucoside;446.41;C22 H22 O10 ;COC4(=C2(C(C(=O)C=C(C1(C=CC=CC=1))O2)=C(O)C=C(OC3(C(C(C(O)C(O3)CO)O)O))4));PUBCHEM:51136398;EC-2.4.1;UDP-alpha-D-glucose + wogonin + UDP-alpha-D-glucose  ->  UDP + wogonin 7-O-beta-D-glucoside + UDP + H+ + H+;wogonin metabolism
CPD-14962;kaempferide 3-O-beta-D-glucopyranosyl -(1->2)-O-alpha-L-rhamnoside;kaempferol 3-glucopyranosyl-2'-rhamnoside;608.552;C28 H32 O15 ;CC5(OC(OCC4(OC(OC3(C(=O)C1(C(=CC(O)=CC(O)=1)OC(C2(C=CC(OC)=CC=2))=3)))C(O)C(O)C(O)4))C(O)C(O)C(O)5);PUBCHEM:13714496;EC-2.4.1;UDP-alpha-D-glucose + kaempferide 3-O-beta-D-glucopyranosyl -(1->2)-O-alpha-L-rhamnoside + UDP-alpha-D-glucose  ->  UDP + kaempferide triglycoside + UDP + H+ + H+;kaempferide triglycoside biosynthesis
CPD-14844;myricetin 3-O-gentiobioside;;642.523;C27 H30 O18 ;C1(C(O)=C(O)C(O)=CC=1C4(OC5(C=C(O)C=C(O)C(C(=O)C(OC2(C(C(C(O)C(O2)COC3(C(C(C(O)C(O3)CO)O)O))O)O))=4)=5)));PUBCHEM:90658494;EC-2.4.1;UDP-alpha-D-glucose + myricetin 3-O-beta-D-glucoside + UDP-alpha-D-glucose  ->  UDP + myricetin 3-O-gentiobioside + UDP + H+ + H+;myricetin gentiobioside biosynthesis
CPD-7965;gentiodelphin;delphinidin 3-<i>O</i>-glucosyl-5-<i>O</i>-caffeoylglucoside-3'-<i>O</i>-caffeoylglucoside;1112.955;C51 H52 O28 ;C(O)C8(C(O)C(O)C(O)C(OC4(C(C3(=CC(O)=C(O)C(OC2(C(O)C(O)C(O)C(COC(=O)C=CC1(=CC=C(O)C(O)=C1))O2))=C3))=[O+]C7(=C(C=4)C(OC6(C(O)C(O)C(O)C(COC(=O)C=CC5(=CC=C(O)C(O)=C5))O6))=CC([O-])=C7)))O8);PUBCHEM:90657364*PUBCHEM:25244415*LIGAND-CPD:C08641;EC-2.3.1;delphinidin 3-O-glucosyl-5-O-(caffeoylglucoside-3'-O-glucoside) + trans-caffeoyl-CoA  ->  gentiodelphin + coenzyme A;gentiodelphin biosynthesis
CPD-7963;delphinidin 3-O-glucosyl-5-O-(caffeoylglucoside-3'-O-glucoside);;950.81;C42 H46 O25 ;C(O)C1(OC(C(O)C(O)C(O)1)OC2(C(O)=C(O)C=C(C=2)C4(C(OC3(OC(CO)C(O)C(O)C(O)3))=CC7(=C([O+]=4)C=C([O-])C=C(OC6(C(O)C(O)C(O)C(COC(=O)C=CC5(=CC=C(O)C(O)=C5))O6))7))));PUBCHEM:90657951*PUBCHEM:25245657;EC-2.3.1;delphinidin 3-O-glucosyl-5-O-(caffeoylglucoside-3'-O-glucoside) + trans-caffeoyl-CoA  ->  gentiodelphin + coenzyme A;gentiodelphin biosynthesis
CPD-11881;4-hydroxy-3-methoxyphenyl-beta-hydroxypropanoyl-CoA;4-hydroxy-3-methoxyphenyl-3-hydroxypropionyl-CoA*3-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propionyl-CoA*4-hydroxy-3-methoxyphenyl-&beta;;;;;;;
CPDQT-419;8-(methylsulfanyl)octyl-desulfoglucosinolate;8-(methylthio)octyl-desulfoglucosinolate;397.544;C16 H31 N1 O6 S2 ;CSCCCCCCCCC(=NO)SC1(OC(CO)C(O)C(O)C(O)1);PUBCHEM:49859709;EC-2.8.2.38;8-(methylsulfanyl)octyl-desulfoglucosinolate + 3'-phosphoadenylyl-sulfate  ->  adenosine 3',5'-bisphosphate + 8-(methylthio)octyl-glucosinolate + H+;glucosinolate biosynthesis from hexahomomethionine
CPD-4442;cis-zeatin riboside;cZR;351.361;C15 H21 N5 O5 ;CC(CO)=CCNC3(=NC=NC2(N(C1(C(C(C(O1)CO)O)O))C=NC=23));PUBCHEM:13935024*PUBCHEM:5354008*LIGAND-CPD:C16449;RXN-4541;cis-zeatin riboside + H2O  ->  D-ribofuranose + cis-zeatin;cis-zeatin biosynthesis
CPD-15288;"delphinidin 3-O-(6\""-O-malyl-beta-D-glucoside)";;578.439;C25 H22 O16 ;C(OC(CC(O)C([O-])=O)=O)C1(OC(C(O)C(O)C(O)1)OC2(=CC4(=C([O+]=C2C3(C=C(O)C(O)=C(O)C=3))C=C([O-])C=C([O-])4)));PUBCHEM:102515301;EC-2.3.1;"delphinidin-3-O-beta-D-glucoside + delphinidin-3-O-beta-D-glucoside + 1-O-malyl-beta-D-glucose  ->  delphinidin 3-O-(6\""-O-malyl-beta-D-glucoside) + D-glucopyranose";anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)
CPD-15369;3R-hydroxy-lesqueroloyl-CoA;;1088.005;C41 H68 N7 O19 P3 S1 ;CCCCCCC(O)CC=CCCCCCCCC(O)CC(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])=O;PUBCHEM:91819813;EC-4.2.1.134;3R-hydroxy-lesqueroloyl-CoA  ->  trans-lesqueroloyl-CoA + H2O;hydroxylated fatty acid biosynthesis (plants)
CPD-5521;quercetin-3-O-glucoside-7-O-rhamnoside;;610.524;C27 H30 O16 ;CC5(OC(OC2(C=C(O)C3(C(=O)C(OC1(OC(CO)C(O)C(O)C(O)1))=C(OC(C=2)=3)C4(=CC=C(O)C(O)=C4))))C(O)C(O)C(O)5);PUBCHEM:14130922*PUBCHEM:14130922;EC-2.4.1;quercetin-3-glucoside + UDP-beta-L-rhamnose  ->  quercetin-3-O-glucoside-7-O-rhamnoside + UDP;quercetin glycoside biosynthesis (Arabidopsis)
CPD-17480;6-hydroxy-2-[(4-glucosyl-hydroxyphenyl)methyl]-1-benzofuran-3-one;;434.399;C21 H22 O10 ;C2(C=C(OC1(C(C(C(O)C(O1)CO)O)O))C=CC=2C(O)C3(OC4(C(C(=O)3)=CC=C(C=4)O)));PUBCHEM:91820476;RXN-16234;6-hydroxy-2-[(4-glucosyl-hydroxyphenyl)methyl]-1-benzofuran-3-one  ->  hispidol-4'-O-beta-D-glucoside + H2O;hispidol and hispidol 4'-O-beta-D-glucoside biosynthesis
5-O-INDOL-3-YLACETYL-MYO-ETCETERA;5-O-(indol-3-ylacetyl-myo-inositol) D-galactoside;;499.471;C22 H29 N1 O12 ;C(O)C1(C(O)C(O)C(C(O1)OC4(C(O)C(O)C(O)C(O)C(OC(=O)CC2(=CNC3(C=CC=CC2=3)))4))O);PUBCHEM:126961081*CHEBI:17391*CHEBI:2105*CHEMSPIDER:389380*PUBCHEM:440445*LIGAND-CPD:C04695;EC-3.2.1;5-O-(indol-3-ylacetyl-myo-inositol) D-galactoside + H2O  ->  1D-1-O-(indol-3-yl)acetyl-myo-inositol + D-galactopyranose;indole-3-acetate activation II
